"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2021-01-03T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.45,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.29,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",24.09,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",14.71,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",23.51,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",15.45,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",21.73,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",18.41,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",28.33,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-04T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",11194.94,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",39.03,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",29.4,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",29.57,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",15.47,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",22.95,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",18.62,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",29.43,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-04T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",NA,"provisorisch"
"2021-01-04T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",31.54,"provisorisch"
"2021-01-04T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",22.42,"provisorisch"
"2021-01-04T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",25.95,"provisorisch"
"2021-01-04T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",15.06,"provisorisch"
"2021-01-04T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",22.3,"provisorisch"
"2021-01-04T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",21.31,"provisorisch"
"2021-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",26.76,"provisorisch"
"2021-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-04T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",9.29,"provisorisch"
"2021-01-04T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.79,"provisorisch"
"2021-01-04T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",15.03,"provisorisch"
"2021-01-04T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",22.56,"provisorisch"
"2021-01-04T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",35.65,"provisorisch"
"2021-01-04T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.53,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.27,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",22.59,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",11.73,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",25.22,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",20.48,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",22.55,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",18.67,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",32.88,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-05T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",12089.6,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",36.94,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",26.11,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",30.62,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",18.72,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",23.88,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",18.91,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",32.22,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-05T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",28009.37,"provisorisch"
"2021-01-05T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",30.51,"provisorisch"
"2021-01-05T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",19.85,"provisorisch"
"2021-01-05T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",27.92,"provisorisch"
"2021-01-05T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",18.76,"provisorisch"
"2021-01-05T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",NA,"provisorisch"
"2021-01-05T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",NA,"provisorisch"
"2021-01-05T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",29.12,"provisorisch"
"2021-01-05T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-05T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",8.39,"provisorisch"
"2021-01-05T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1,"provisorisch"
"2021-01-05T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",14.49,"provisorisch"
"2021-01-05T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",26.73,"provisorisch"
"2021-01-05T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",33.14,"provisorisch"
"2021-01-05T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.11,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.26,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",17.92,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",7.1,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",23.38,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",23.82,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",18.67,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",16.02,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",30.2,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-06T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",7543.19,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",26.22,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",14.54,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",27.86,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",22.41,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",18.81,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",15.72,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",29.02,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-06T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",NA,"provisorisch"
"2021-01-06T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",52.81,"provisorisch"
"2021-01-06T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",41.87,"provisorisch"
"2021-01-06T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",36.8,"provisorisch"
"2021-01-06T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",15.84,"provisorisch"
"2021-01-06T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",20.75,"provisorisch"
"2021-01-06T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",19.37,"provisorisch"
"2021-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",28.93,"provisorisch"
"2021-01-06T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-06T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",9.52,"provisorisch"
"2021-01-06T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.71,"provisorisch"
"2021-01-06T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",15.57,"provisorisch"
"2021-01-06T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",29.34,"provisorisch"
"2021-01-06T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",35.2,"provisorisch"
"2021-01-06T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.42,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.29,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",21.74,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",9.92,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.37,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",20.11,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",19.82,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",16.41,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",29.85,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-07T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",9287.45,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",33.29,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",21.1,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",31.31,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",18.19,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",21.82,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",16.4,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",28.52,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-07T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",NA,"provisorisch"
"2021-01-07T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",50.25,"provisorisch"
"2021-01-07T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",36.43,"provisorisch"
"2021-01-07T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",40.23,"provisorisch"
"2021-01-07T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",9.69,"provisorisch"
"2021-01-07T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",22.14,"provisorisch"
"2021-01-07T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",20.06,"provisorisch"
"2021-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",21.36,"provisorisch"
"2021-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-07T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",12.85,"provisorisch"
"2021-01-07T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",2.95,"provisorisch"
"2021-01-07T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",20.04,"provisorisch"
"2021-01-07T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",22.07,"provisorisch"
"2021-01-07T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",32.23,"provisorisch"
"2021-01-07T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.48,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.32,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",28.62,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",14.89,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",31.91,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",22.17,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",20.77,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",14.53,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",43.2,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-08T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",14669.36,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",40.44,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",25.64,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",38.02,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",19.05,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",19,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",13.51,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",41.06,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-08T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",NA,"provisorisch"
"2021-01-08T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",49.37,"provisorisch"
"2021-01-08T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",34.27,"provisorisch"
"2021-01-08T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",41.87,"provisorisch"
"2021-01-08T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",15.03,"provisorisch"
"2021-01-08T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",20.56,"provisorisch"
"2021-01-08T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",17.09,"provisorisch"
"2021-01-08T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",29.36,"provisorisch"
"2021-01-08T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-08T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",9.97,"provisorisch"
"2021-01-08T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",1.33,"provisorisch"
"2021-01-08T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",17.03,"provisorisch"
"2021-01-08T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",33.52,"provisorisch"
"2021-01-08T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",47.72,"provisorisch"
"2021-01-08T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.55,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.3,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",24.1,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",11.81,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",27.97,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",17.64,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",20.25,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",16.18,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",38.03,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-09T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",12206.08,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",36.57,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",24.18,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",32.85,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",16.58,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",20.81,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",16.45,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",35.54,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-09T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",NA,"provisorisch"
"2021-01-09T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",33.09,"provisorisch"
"2021-01-09T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",20.28,"provisorisch"
"2021-01-09T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",32.19,"provisorisch"
"2021-01-09T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",14.62,"provisorisch"
"2021-01-09T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",21.17,"provisorisch"
"2021-01-09T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",19.18,"provisorisch"
"2021-01-09T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",34.35,"provisorisch"
"2021-01-09T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-09T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",9.94,"provisorisch"
"2021-01-09T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",2.18,"provisorisch"
"2021-01-09T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",15.66,"provisorisch"
"2021-01-09T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",31.87,"provisorisch"
"2021-01-09T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",45.68,"provisorisch"
"2021-01-09T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.7,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.21,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",10.96,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",4.01,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",14.81,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",38.88,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",17.33,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",14.53,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",43.13,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-10T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",7496.38,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",15.32,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",7.91,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",17.17,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",38.39,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",17.48,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",14.5,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",42.59,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-10T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",NA,"provisorisch"
"2021-01-10T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",16.89,"provisorisch"
"2021-01-10T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",8.93,"provisorisch"
"2021-01-10T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",18.61,"provisorisch"
"2021-01-10T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",36.25,"provisorisch"
"2021-01-10T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",17.91,"provisorisch"
"2021-01-10T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",16.64,"provisorisch"
"2021-01-10T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",40.45,"provisorisch"
"2021-01-10T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-10T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",5.81,"provisorisch"
"2021-01-10T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.91,"provisorisch"
"2021-01-10T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",9.72,"provisorisch"
"2021-01-10T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",42.85,"provisorisch"
"2021-01-10T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",49.84,"provisorisch"
"2021-01-10T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.51,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.29,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",27.99,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",14.5,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",31.31,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",27.64,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",25.51,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",20.03,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",43.63,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2021-01-11T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",11113.62,"provisorisch"
"2021-01-11T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",40.27,"provisorisch"
"2021-01-11T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",26.54,"provisorisch"
"2021-01-11T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",36.31,"provisorisch"
"2021-01-11T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",25.53,"provisorisch"
